number,name,platform,release_date,summary,meta_score,user_review
15272,Schrodinger's Cat and the Raiders of the Lost Quark, PlayStation 4,"May 12, 2015","Schrödinger’s Cat is a frantic, wacky and colourful puzzle-laden platform game. Following an emergency, the Particle Zoo is overrun with hungry leptons, sticky-fingered gluons and massive bosons. Schrödinger’s Cat must sort out this chaos.",61,0.0
15279,Zoids Wild: Blast Unleashed, Switch,"October 16, 2020","Unleash the wild mecha power and animal instinct of Zoids, in spectacular head-to-head battles on Nintendo Switch. With stunning graphics faithful to the Zoids Wild anime, and an intuitive 3D combat system that lets you chain incredible combos instinctively, Zoids Wild: Blast Unleashed is the ultimate showdown between your favorite pilots and their Zoids. But are Zoids merely weapons, or your partners? Your skill in combat will decide who wins between warring factions including Arashi’s Team Freedom and the power-hungry Team Dark Metal, in a new Zoids story. So choose your hero, step on to the battlefield, and fight to awaken the greatest bond between human and Zoid – then use the hidden power known as Wild Blast to defeat your rivals! With a huge choice of characters, Zoids and game modes, Zoids Wild: Blast Unleashed takes mecha combat to the next level. Settle scores in 2-player battles, challenge yourself in Mission Mode and Battle Tactics Mode, and hone your skills in Practice Mode. Are you ready to command the strongest lifeforms in the world?",61,0.0
15283,SBK Generations, Xbox 360,"June 1, 2012","Play through the last 4 seasons of the SBK world championships, including the new 2012 season to become world champion or test your skills in the new SBK Experience mode. With SBK Generations, Milestone has developed what they consider to be the definitive motorcycle game, filled with over 220+ riders, 60 bike models, 140+ teams, 17 circuits and up to 16 player online multi-player.",61,0.0
15286,MX vs. ATV Untamed, DS,"December 17, 2007","MX vs ATV kicks it up a notch and shifts into high gear as the best selling offroad franchise makes its debut on the Nintendo DS. MX vs ATV’s legendary Rhythm Racing lets players pre-load into massive jumps and clutch through hairpin turns at full speed all while retaining the smooth and authentic feel not found in any other game. Attempt to own the offroad by dominating Race and Stunt Challenge events. Ten DS-exclusive Supercross tracks provide the perfect proving ground for the MX vs ATV rivalry. With two different MX and ATV vehicles to take control of, the competition is fierce in 3 massive Supercross stadiums. Up the ante by completing the MX vs ATV Championship, unlocking playable Sand Rail and Golf Buggy vehicles. Players can showcase their freestyle skills with combo extenders and over 25 airborne and ground stunts. Make sure to stick the landing, though; riders who bail will find the judges can be harsh on bad landings. [THQ]",61,0.0
15288,Catwoman, Game Boy Advance,"July 20, 2004","A classic story of betrayal and revenge unravels in Catwoman, which is based on the film from Warner Bros. Pictures. You'll control Catwoman, a woman brought back to life by a rare Egyptian cat, as she sets out to discover the truth about herself and her murderer. With Catwoman's catlike skills, you can leap across roofs, run up walls, pounce on prey, and avoid enemy bullets. In addition, your can use her whip to swing through the air and use the interactive environments to knock your foes unconscious.",61,0.0
15293,Road to India: Between Hell and Nirvana, PC,"September 16, 2001","When Fred Reynolds left his fiancée at the airport, he thought that she would be visiting her relatives in New Delhi for a few weeks. He never expected her to be kidnapped by Thugs: Kali worshippers bent on human sacrifices and overthrow of the Indian government. He must now make his way in a foreign land to find her and stop the evil cult before it is too late in this puzzle-driven adventure game. [Microids]",61,0.0
15304,ER (2005), PC,"May 31, 2005","The ER game combines the best of the popular strategy/role-playing genre with the top-rated television franchise, ER. Players of the game will get to interact with their favorite stars in dramatic and engaging storylines reminiscent of the TV show. In the ER computer game, the player joins the cast of the TV show as a newly hired intern and handles a steady flow of patients with health issues ranging from minor cuts and bruises to serious injuries sustained from accidents and violence. Through it all, the player will have to navigate goals, dodge sticky politics, deal with gut-wrenching ethical dilemmas, and engage in steamy romances. With perseverance, the player will gain prestige among peers and supervisors and ascend the ranks of Chicago's County General Hospital. [Legacy Interactive]",60,0.0
15313,Exorder, PC,"March 19, 2018","Exorder is one of those not overly-complicated tactical turn-based games with simple rules and dangerous depths. It features a single-player fantasy campaign and a multiplayer skirmishes, both online and offline.",60,0.0
15320,Atlantis Quest, PC,"March 2, 2006","Embark on a journey around ancient Greece, Babylon, Carthage, Egypt, and Rome in search of one of the greatest mysteries of all time - the lost city of Atlantis. In this classic style matching game with a dazzling new twist, you must discover pieces of ancient artifacts to help you find a way to your destination. Includes 76 exciting levels, thrilling power-up items, and numerous extra features. [Got Game Entertainment]",60,0.0
15322,Total Immersion Racing, Xbox,"November 18, 2002","Immerse yourself in a new racing experience that features the latest driving technology, real-world racetracks and cars, and challenging gameplay. In Total Immersion Racing, you'll start on a career path that brings you from the lowest ranks of racing all the way to the world championship. Get behind the wheel of one of 18 licensed cars, and race against drivers who have their own personalities, driving styles, memories, behaviors, and grudges to bear. If you upset the wrong opponent, don't be surprised if he responds many races later.",60,0.0
15329,Luxor: The Wrath of Set, PSP,"November 17, 2006","LUXOR: Wrath of Set is any easily accessible title that features an addictive style of gameplay combined with slick graphics and detailed levels that continue to challenge you as you go. Luxor is an action/puzzler that takes the player on a thrilling adventure across Ancient Egypt. Isis has enlisted you to battle Set and his evil minions. Use your scarab to shoot and destroy the approaching spheres before they reach the pyramids. Use Isis' magic by catching talismans, gems, and Ankh coins. Featuring a rousing soundtrack and full of exhilarating action, the only question is: Can you thwart Set's diabolical plans? [MumboJumbo]",60,0.0
